"General shop info for YML file","Общая информация о магазине"
"Full name of your company","Полное наименование компании, владеющей магазином"
"Local delivery cost","Стоимость доставки"
"Default local delivery cost","Общая стоимость доставки для всех товаров, кроме тех, для которых установлена отдельная стоимость доставки"
"Yandex Market Export","Яндекс Маркет"
"If Yes and Magento cron enabled - YML file for Yandex Market will be automatically generated every 2 hours.","Если Да и cron Magento включен - YML файл для Яндекс Маркета будет автоматически генерироваться каждые 2 часа"
"Generate now","Генерация файла"
"Run","Запустить"
"Generate YML file for Yandex Market right now","Сгененировать YML файл для Яндекс Маркета прямо сейчас"
"YML file has been generated and now available at %s","YML файл сгенерирован и теперь доступен по ссылке %s"
"YML file link","Ссылка на YML файл"
"Аfter generating YML file will be available at this link","После генерации YML файл будет доступен по этой ссылке"
